"","HUC12","Agriculture","Buildings","Ditches","Developed","ForestLoss","Impervious","LeveedArea","NonNativeVeg","Roads_Rail","Wells","MH20"
"1","101800010101",0.280305833920717,0,0,0.0800658802205275,1,0.0650508176916488,0,0.333108842520703,0.164181742292585,0,0.177762040867908
"2","101800010102",0.227195456344533,0,0,0.180731028724491,0.735875892390713,0.0928824877302657,0,1,0.196533657929117,0,0.268822415427409
"3","101800010103",0.977793186927952,0,0,0,0.647548703506672,0.0130794703095939,0,0.1690672345795,0.0310807207934845,0,0.32894663909397
"4","101800010104",1,0,0.873660560354102,0,0,0.0934370379590393,0,0.0871624748188153,0.162606344159387,0,0.261106680289777
"5","101800010105",0.965903844799545,0,0.51145185021152,0,0.237191554311656,0.02924210499544,0,0.290202464084773,0.074298562672672,0,0.322447263934966
"6","101800010106",1,0,1,0.0463883571867082,0,0.0648074126721039,0,0.053895080574856,0.139840346086585,0,0.346050857189774
"7","101800010107",0.00665003280349467,0,0,0,1,0.000219460307773379,0,0.0313467431966081,0.0339811787578328,0,0.34099824525529
"8","101800010108",0.961888485064168,0,1,0.035794535827615,0,0.0444642882988449,0,0.0363448805544671,0.0665989314808835,0,0.421366475955291
"9","101800010201",0.249035551170381,0,0.0177317385922479,0,0.893409441203366,0.00531267421826944,0,1,0.0423417466377299,0,0.0405096826385468
"10","101800010202",0.930674298262425,0,1,0,1,0.0317851769650295,0,0.334382731286767,0.0857253743040128,0,0.139721568031926
"11","101800010203",0.118090278337055,0,0.338860787043219,0,0.2762018028593,0.0107565953927212,0,0.0500880431975385,0.07850119810847,0,0.312976465000917
"12","101800010204",0.686066465948089,0,1,0,0.420472060834374,0.0629331905516192,0,0.0280467447917883,0.0957102150146976,0,0.350788454281137
"13","101800010301",0.337426602536434,0,0,0,0,0.0136398516557794,0,1,0.0653313440104803,0,0.059692013292569
"14","101800010302",0.00156006083989589,0,0.165542870318066,0,1,0.00184501152247942,0,0.144133935590588,0.0920772058844182,0,0.0888377639827445
"15","101800010303",0.659560227296066,0,0.522671718368839,0.0207192179190508,0.282174679341344,0.0512028682092048,0,0.21812245712293,0.121074431795677,0,0.20014683554743
"16","101800010304",0.489909128048843,0,1,0,1,0.0564146490572237,0,0.182021491367522,0.0177368383477584,0,0.13730701502334
"17","101800010305",0.185426132304281,0,0.500946370587948,0,1,0.00401822656886064,0,0.0600772783374969,0.0342833922739925,0,0.107004051274045
"18","101800010306",0.49267375894833,0,1,0,0,0.0191098554015812,0,0.0457928587700193,0.0421529153495927,0,0.408450688601553
"19","101800010401",0.0160462206324238,0,0,0,1,0.0111162195046785,0,0.697651503889368,0.0433770295536671,0,0.105463859805603
"20","101800010402",0.0597402946889629,0,0,0,0.800460615013347,0.0320764110966828,0,0.604959147122495,0.0432537406562965,0,0.246603906108163
"21","101800010403",0.224097888855016,0,0,0,0.583860688234603,0.0380329817099318,0,0.930534457653576,0.195722603126174,0,0.144987088538
"22","101800010404",0.552505384418244,0,0.019952905453631,0.0377457545272948,0,0.0714503102995278,0,0.522070264881289,0.142361746255092,0,0.185727561046204
"23","101800010405",0.476957243109158,0,0.434462687940608,0,0.0943199418124952,0.0376697453677501,0,0.175989104912713,0.0731572571450207,0,0.444419192090027
"24","101800010406",0.0689043591862903,0,0,0,0,0.166130873933464,0,0.062290312847265,0.393328536955691,0,0.474258783928396
"25","101800010407",0.179333248257051,0,1,0.0348638961260238,0.188207275563658,0.0308902904266575,0,0.100635258677975,0.0973831931165114,0,0.394920848283643
"26","101800010408",0.446764054804821,0,1,0,0,0.0249502728258877,0,0.230850323453069,0.0707726069588765,0,0.491159514430196
"27","101800010409",0.277693326597426,0.362871460904329,0,0.0560471841266583,1,0.037605176918616,0,0.197676400974697,0.0296082009465702,0,0.6327697171865
"28","101800010501",0,0,0.866074489680043,0,1,0.05810457312801,0,0.0150659395687203,0.410232387875831,0,0.0661880757165171
"29","101800010502",0,0,0,0,1,0.117286617271898,0,0.171319547510784,0.351581417538798,0,0.185266497285267
"30","101800010503",0.0489664588980933,0,0,0.0848100253276753,1,0.0257546175358661,0,0.0587533565827797,0.0973849261404351,0,0.185266497285267
"31","101800010504",0.263502874619596,0,1,0,0,0.0281742721080422,0,0.56744022629365,0.0777948008539748,0,0.0679706213634816
"32","101800010505",0.602717634650922,0,1,0.00672404767798961,0.707818199515359,0.0243599676241103,0,0.231016618540704,0.0554402734264276,0,0.276962492952833
