"","HUC12","min.func","min.func.name","std.dev","CV","StrmOrder"
"1","101800010101",4,"Organics/Solutes",0.0759088152894204,0.114815924367909,"4"
"2","101800010102",5,"Habitat",0.0974417995221046,0.144121618780642,"5"
"3","101800010103",3,"Sediment",0.12870747594482,0.194866257605923,"3"
"4","101800010104",2,"Groundwater",0.153736986691582,0.202958664705444,"4"
"5","101800010105",3,"Sediment",0.135589093375056,0.186754306379419,"4"
"6","101800010106",2,"Groundwater",0.157651965022116,0.212353034215089,"5"
"7","101800010107",4,"Organics/Solutes",0.106596806115144,0.151006186537544,"2"
"8","101800010108",2,"Groundwater",0.155362861671304,0.207428165871821,"5"
"9","101800010201",5,"Habitat",0.072189745658729,0.100963930335752,"3"
"10","101800010202",2,"Groundwater",0.146097043717945,0.263469485680186,"3"
"11","101800010203",4,"Organics/Solutes",0.0524760394655093,0.0619086082557353,"4"
"12","101800010204",2,"Groundwater",0.128479054504268,0.184192183856242,"4"
"13","101800010301",5,"Habitat",0.093330161552477,0.103412908271821,"3"
"14","101800010302",4,"Organics/Solutes",0.0626734499861659,0.0857056988062555,"3"
"15","101800010303",3,"Sediment",0.0959807070851003,0.124806087253148,"4"
"16","101800010304",2,"Groundwater",0.115931526206492,0.185105597920531,"4"
"17","101800010305",4,"Organics/Solutes",0.0719787256432911,0.102608627767928,"4"
"18","101800010306",2,"Groundwater",0.110378579359004,0.134046688508287,"5"
"19","101800010401",4,"Organics/Solutes",0.071009790618414,0.0986818639194786,"3"
"20","101800010402",4,"Organics/Solutes",0.0816999321281573,0.110553738087482,"3"
"21","101800010403",5,"Habitat",0.0804045235193476,0.106685066508644,"3"
"22","101800010404",5,"Habitat",0.0870308252771134,0.101873611009953,"3"
"23","101800010405",3,"Sediment",0.089198970358692,0.109734649674693,"4"
"24","101800010406",3,"Sediment",0.0822348811993695,0.096871083037798,"4"
"25","101800010407",2,"Groundwater",0.0794207833627868,0.0979154174632132,"3"
"26","101800010408",2,"Groundwater",0.107528744777066,0.133285316728341,"4"
"27","101800010409",4,"Organics/Solutes",0.126088882562773,0.211229420311548,"4"
"28","101800010501",2,"Groundwater",0.0621513768986731,0.0933376122061386,"2"
"29","101800010502",4,"Organics/Solutes",0.0868831336448621,0.128515627524837,"4"
"30","101800010503",4,"Organics/Solutes",0.0793100836995066,0.111777700414986,"4"
"31","101800010504",2,"Groundwater",0.0996941080730168,0.113142895096382,"2"
"32","101800010505",2,"Groundwater",0.118716480839547,0.181095153594742,"4"
"33","101800010506",3,"Sediment",0.157662928126008,0.223690181896477,"5"
"34","101800010507",3,"Sediment",0.153505064943157,0.21127873771802,"5"
"35","101800010601",2,"Groundwater",0.0802155257926762,0.12069394055592,"3"
"36","101800010602",2,"Groundwater",0.155073373495416,0.207136198360815,"4"
"37","101800010603",2,"Groundwater",0.121789211580713,0.145486103304702,"4"
"38","101800010604",2,"Groundwater",0.127830279640292,0.151314993323577,"4"
"39","101800010605",2,"Groundwater",0.111705952540461,0.132353213484679,"4"
"40","101800010701",3,"Sediment",0.0988812054596457,0.123329771092021,"5"
"41","101800010702",2,"Groundwater",0.0842757850366594,0.117483481986724,"3"
"42","101800010703",3,"Sediment",0.0917233161399982,0.119934206088724,"6"
"43","101800020101",3,"Sediment",0.00981771048550122,0.00997789178290335,"2"
"44","101800020102",3,"Sediment",0.0130021255144338,0.0141259627674732,"3"
"45","101800020107",4,"Organics/Solutes",0.0792924506713174,0.113091475370433,"6"
"46","101800020201",4,"Organics/Solutes",0.0707483435834976,0.0988821455799442,"2"
"47","101800020202",4,"Organics/Solutes",0.0841218142753115,0.116964975775886,"3"
"48","101800020401",4,"Organics/Solutes",0.0742717001333448,0.0994915986741336,"3"
