,FID,HUC12,FREQUENCY,COUNT_FID,Unnamed: 0,FP_Areakm2,Point_Density
0,,101900020102,4,4,103,0.6468390226364136,6.1839188113553085
1,,101900020204,2,2,110,2.4149401187896733,0.8281778850079172
2,,101900020503,10,10,126,2.997689962387085,3.3359020197128455
3,,101900020504,1,1,127,1.9837299585342407,0.5041008710373516
4,,101900020602,1,1,129,1.0142600536346436,0.9859404364950172
5,,101900020606,2,2,133,3.4447100162506104,0.5806003961334595
6,,101900020608,4,4,135,5.171689987182617,0.7734415655063426
7,,101900020702,1,1,137,1.408650040626526,0.7098995287397496
8,,101900020703,7,7,138,11.952500343322756,0.5856515205130731
9,,101900020809,2,2,147,4.547890186309815,0.43976435623279897
10,,101900020901,6,6,148,6.004889965057372,0.9991856694983876
11,,101900020903,4,4,150,1.878350019454956,2.1295285535550432
12,,101900020904,13,13,151,13.14050006866455,0.9893078598279837
13,,101900030103,6,6,154,3.589639902114868,1.6714768510526772
14,,101900030106,7,7,157,5.872779846191406,1.1919397939869336
15,,101900030107,13,13,158,2.368259906768799,5.489262374811264
16,,101900030108,1,1,159,3.196039915084839,0.31288720622046895
17,,101900030202,1,1,161,7.4902801513671875,0.13350635487478688
18,,101900030204,5,5,163,10.054100036621094,0.4973095534943934
19,,101900030301,9,9,164,3.368730068206787,2.6716299073468956
20,,101900030303,7,7,166,9.198880195617676,0.7609621879122617
21,,101900030304,32,32,167,10.98169994354248,2.9139386583601583
22,,101900030402,14,14,169,18.640899658203125,0.7510367126427373
23,,101900030403,6,6,170,6.701260089874268,0.8953539960441343
24,,101900030404,19,19,171,10.415399551391602,1.8242219039462015
25,,101900030405,15,15,172,14.28159999847412,1.0503024872285063
26,,101900030408,1,1,175,8.148699760437013,0.12271896491451664
27,,101900030409,54,54,176,24.72450065612793,2.1840683761844217
28,,101900030502,6,6,178,4.45251989364624,1.347551531114329
29,,101900030503,4,4,179,6.366889953613281,0.6282502177896062
30,,101900030504,13,13,180,20.191699981689453,0.6438289005774085
31,,101900030505,4,4,181,11.815400123596193,0.33854122231643397
32,,101900030601,1,1,182,2.3350300788879395,0.42826000788660123
33,,101900030602,24,24,183,18.489500045776367,1.298034016094579
34,,101900030603,23,23,184,25.85709953308105,0.889504252809727
35,,101900030604,11,11,185,14.32800006866455,0.7677275228422903
36,,101900030605,1,1,186,5.151100158691406,0.19413328593751158
37,,101900030606,33,33,187,23.30010032653809,1.4163029144734638
38,,101900030607,33,33,188,31.19750022888184,1.0577770577095613
39,,101900030701,5,5,189,1.0998899936676023,4.545909162540349
40,,101900030702,3,3,190,2.5448598861694336,1.1788468262257263
41,,101900030703,3,3,191,1.6811599731445312,1.7844821717879946
42,,101900030704,3,3,192,2.990609884262085,1.0031398664825293
43,,101900030803,15,15,198,11.379400253295898,1.3181714032473233
44,,101900030804,18,18,199,13.152999877929688,1.3685090980806154
45,,101900030805,13,13,200,13.36989974975586,0.9723333939162399
46,,101900030806,60,60,201,26.57099914550781,2.2581010097297685
47,,101900031002,5,5,213,15.305100440979006,0.32668848004503326
48,,101900031007,1,1,218,13.51449966430664,0.07399460023230574
49,,101900031102,4,4,220,22.496299743652344,0.17780701918006128
50,,101900031103,16,16,221,30.049299240112305,0.5324583402810894
51,,101900031105,2,2,223,4.341909885406493,0.46062678700959686
52,,101900031202,1,1,225,5.094580173492432,0.19628702777180576
53,,101900031203,9,9,226,21.583999633789066,0.41697554450986857
54,,101900031205,1,1,227,8.108909606933594,0.1233211428506912
55,,101900040102,1,1,230,1.233489990234375,0.8107078354239343
56,,101900040207,2,2,239,1.5542800426483154,1.2867694013443218
57,,101900040304,1,1,243,5.461170196533203,0.18311093850083787
58,,101900040403,2,2,246,9.01196002960205,0.221927304762837
59,,101900040404,3,3,247,4.337800025939941,0.6915948135137792
60,,101900050406,1,1,264,9.574999809265137,0.10443864437807734
